"name","function_id","function_name","number","percent"
"DBI",66,"forceAndCall",15,0.0109969062037214
"DBI",444,"return",4,0.00293250832099236
"DBI",337,"<-",797,0.584302282957728
"DBI",508,"@<-",139,0.101904664154485
"DBI",407,"[<-",16,0.0117300332839694
"DBI",199,"attr<-",90,0.0659814372223281
"DBI",111,"attributes<-",189,0.138561018166889
"DBI",430,"base::body<-",25,0.0183281770062023
"DBI",359,"base::parent.env<-",1,0.00073312708024809
"DBI",428,"body<-",26,0.0190613040864503
"DBI",530,"body<-",1,0.00073312708024809
"DBI",104,"class<-",41,0.0300582102901717
"DBI",64,"dim<-",15,0.0109969062037214
"DBI",65,"dimnames<-",15,0.0109969062037214
"DBI",539,"environment<-",5,0.00366563540124045
"DBI",665,"length<-",16,0.0117300332839694
"DBI",161,"levels<-",14,0.0102637791234733
"DBI",643,"methods::.newDirectSuperclass<-",6,0.00439876248148854
"DBI",653,"methods::as<-",11,0.00806439788272899
"DBI",540,"methods::packageSlot<-",52,0.0381226081729007
"DBI",597,"methods::slot<-",109,0.0799108517470418
"DBI",77,"names<-",167,0.122432222401431
"DBI",359,"parent.env<-",271,0.198677438747232
"DBI",360,"parent.env<-",272,0.199410565827481
"DBI",162,"storage.mode<-",14,0.0102637791234733
"DBI",412,"assign",154,0.112901570358206
"DBI",387,"assignNativeRoutines",1,0.00073312708024809
"DBI",372,"assignWrapped",22,0.016128795765458
"DBI",411,"base::assign",154,0.112901570358206
"DBI",551,"methods::.assignOverBinding",7,0.00513188956173663
"DBI",619,"methods::assignClassDef",18,0.0131962874444656
"DBI",676,"methods::assignMethodsMetaData",8,0.00586501664198472
"DBI",100,"base::sprintf",42,0.0307913373704198
"digest",297,"<anonymous>",2553,2.93057532485422
"digest",518,"<anonymous>",96,0.110197897056798
"digest",144,"base::eval",1481,1.70003214105331
"digest",268,"base::eval.parent",1,0.00114789476100831
"digest",149,"eval",1481,1.70003214105331
"digest",68,"forceAndCall",13,0.014922631893108
"digest",271,"<-",4,0.00459157904403324
"digest",204,"attr<-",80,0.0918315808806649
"digest",112,"attributes<-",93,0.106754212773773
"digest",105,"class<-",55,0.0631342118554571
"digest",66,"dim<-",9,0.0103310528490748
"digest",67,"dimnames<-",11,0.0126268423710914
"digest",423,"environment<-",2,0.00229578952201662
"digest",161,"levels<-",4,0.00459157904403324
"digest",79,"names<-",40,0.0459157904403324
"digest",444,"oldClass<-",37,0.0424721061573075
"digest",300,"parent.env<-",8,0.00918315808806649
"digest",301,"parent.env<-",8,0.00918315808806649
"digest",162,"storage.mode<-",6,0.00688736856604986
"digest",338,"assign",4,0.00459157904403324
"digest",331,"assignNativeRoutines",1,0.00114789476100831
"digest",315,"assignWrapped",1,0.00114789476100831
"digest",337,"base::assign",4,0.00459157904403324
"digest",2,"base::sprintf",88,0.101014738968731
"dplyr",305,"<anonymous>",17669,1.5800538876265
"dplyr",795,"<anonymous>",6765,0.604961489036917
"dplyr",880,"<anonymous>",3,0.00026827560489442
"dplyr",1243,"<anonymous>",8,0.000715401613051787
"dplyr",173,"base::eval",3221,0.288038574454976
"dplyr",279,"base::eval.parent",12,0.00107310241957768
"dplyr",540,"base::evalq",7759,0.693850139458602
"dplyr",178,"eval",10980,0.981888713913578
"dplyr",1006,"glue::eval2",2,0.000178850403262947
"dplyr",1005,"glue::eval_args",1,8.94252016314734e-05
"dplyr",871,"plyr::revalue",4,0.000357700806525894
"dplyr",468,"rlang::eval_bare",1042,0.0931810600999953
"dplyr",497,"rlang::eval_tidy",39,0.00348758286362746
"dplyr",520,"rlang::f_self_eval",91,0.00813769334846408
"dplyr",521,"rlang::overscope_eval_next",71,0.00634918931583461
"dplyr",789,"base::force",209,0.0186898671409779
"dplyr",105,"forceAndCall",40,0.00357700806525893
"dplyr",282,"<-",131,0.011714701413723
"dplyr",678,"@<-",15,0.0013413780244721
"dplyr",335,"[<-",16,0.00143080322610357
"dplyr",199,"attr<-",108,0.00965792177619913
"dplyr",54,"attributes<-",1013,0.0905877292526825
"dplyr",945,"base::$<-.data.frame",1,8.94252016314734e-05
"dplyr",1228,"base::Encoding<-",8,0.000715401613051787
"dplyr",1114,"base::[<-.data.frame",4,0.000357700806525894
"dplyr",359,"base::body<-",4,0.000357700806525894
"dplyr",1149,"base::colnames<-",1,8.94252016314734e-05
"dplyr",969,"base::mostattributes<-",5,0.000447126008157367
"dplyr",308,"base::parent.env<-",1,8.94252016314734e-05
"dplyr",357,"body<-",5,0.000447126008157367
"dplyr",700,"body<-",1,8.94252016314734e-05
"dplyr",137,"class<-",229,0.0204783711736074
"dplyr",103,"dim<-",33,0.00295103165383862
