"name","number","strictness_rate","percent"
"Rcpp",1,"(70,80〉",0.106609808102345
"Rcpp",6,"(80,90〉",0.639658848614073
"Rcpp",6,"(90,100)",0.639658848614073
"Rcpp",401,"100",42.7505330490405
"Rcpp",385,NA,41.044776119403
"readr",111,"0",12.1978021978022
"readr",2,"(0,10〉",0.21978021978022
"readr",2,"(10,20〉",0.21978021978022
"readr",2,"(20,30〉",0.21978021978022
"readr",1,"(30,40〉",0.10989010989011
"readr",4,"(40,50〉",0.43956043956044
"readr",0,"(50,60〉",0
"readr",0,"(60,70〉",0
"readr",3,"(70,80〉",0.32967032967033
"readr",9,"(80,90〉",0.989010989010989
"readr",3,"(90,100)",0.32967032967033
"readr",415,"100",45.6043956043956
"readr",368,NA,40.4395604395604
"readxl",105,"0",12.7272727272727
"readxl",2,"(0,10〉",0.242424242424242
"readxl",0,"(10,20〉",0
"readxl",2,"(20,30〉",0.242424242424242
"readxl",3,"(30,40〉",0.363636363636364
"readxl",2,"(40,50〉",0.242424242424242
"readxl",2,"(50,60〉",0.242424242424242
"readxl",4,"(60,70〉",0.484848484848485
"readxl",1,"(70,80〉",0.121212121212121
"readxl",4,"(80,90〉",0.484848484848485
"readxl",4,"(90,100)",0.484848484848485
"readxl",357,"100",43.2727272727273
"readxl",346,NA,41.9393939393939
"rlang",50,"0",11.6550116550117
"rlang",1,"(0,10〉",0.233100233100233
"rlang",1,"(10,20〉",0.233100233100233
"rlang",2,"(20,30〉",0.466200466200466
"rlang",0,"(30,40〉",0
"rlang",1,"(40,50〉",0.233100233100233
"rlang",0,"(50,60〉",0
"rlang",1,"(60,70〉",0.233100233100233
"rlang",4,"(70,80〉",0.932400932400932
"rlang",3,"(80,90〉",0.699300699300699
"rlang",0,"(90,100)",0
"rlang",162,"100",37.7622377622378
"rlang",206,NA,48.018648018648
"rprojroot",33,"0",9.04109589041096
"rprojroot",0,"(0,10〉",0
"rprojroot",1,"(10,20〉",0.273972602739726
"rprojroot",0,"(20,30〉",0
"rprojroot",1,"(30,40〉",0.273972602739726
"rprojroot",3,"(40,50〉",0.821917808219178
"rprojroot",1,"(50,60〉",0.273972602739726
"rprojroot",3,"(60,70〉",0.821917808219178
"rprojroot",2,"(70,80〉",0.547945205479452
"rprojroot",0,"(80,90〉",0
"rprojroot",0,"(90,100)",0
"rprojroot",145,"100",39.7260273972603
"rprojroot",179,NA,49.041095890411
"RSQLite",116,"0",15.3846153846154
"RSQLite",6,"(0,10〉",0.795755968169761
"RSQLite",4,"(10,20〉",0.530503978779841
"RSQLite",1,"(20,30〉",0.13262599469496
"RSQLite",0,"(30,40〉",0
"RSQLite",3,"(40,50〉",0.397877984084881
"RSQLite",2,"(50,60〉",0.26525198938992
"RSQLite",5,"(60,70〉",0.663129973474801
"RSQLite",3,"(70,80〉",0.397877984084881
"RSQLite",5,"(80,90〉",0.663129973474801
"RSQLite",4,"(90,100)",0.530503978779841
"RSQLite",333,"100",44.1644562334218
"RSQLite",281,NA,37.2679045092838
"SparseM",122,"0",13.5857461024499
"SparseM",5,"(0,10〉",0.556792873051225
"SparseM",5,"(10,20〉",0.556792873051225
"SparseM",2,"(20,30〉",0.22271714922049
"SparseM",2,"(30,40〉",0.22271714922049
"SparseM",9,"(40,50〉",1.0022271714922
"SparseM",3,"(50,60〉",0.334075723830735
"SparseM",3,"(60,70〉",0.334075723830735
"SparseM",3,"(70,80〉",0.334075723830735
"SparseM",2,"(80,90〉",0.22271714922049
"SparseM",6,"(90,100)",0.66815144766147
"SparseM",370,"100",41.2026726057906
"SparseM",379,NA,42.2048997772829
"sp",365,"0",16.7584940312213
"sp",25,"(0,10〉",1.14784205693297
"sp",15,"(10,20〉",0.68870523415978
"sp",9,"(20,30〉",0.413223140495868
"sp",9,"(30,40〉",0.413223140495868
"sp",17,"(40,50〉",0.780532598714417
"sp",3,"(50,60〉",0.137741046831956
"sp",8,"(60,70〉",0.367309458218549
"sp",17,"(70,80〉",0.780532598714417
"sp",17,"(80,90〉",0.780532598714417
"sp",21,"(90,100)",0.964187327823691
"sp",883,"100",40.5417814508724
"sp",811,NA,37.2359963269054
"stringr",48,"0",9.41176470588235
"stringr",0,"(0,10〉",0
"stringr",2,"(10,20〉",0.392156862745098
"stringr",1,"(20,30〉",0.196078431372549
"stringr",0,"(30,40〉",0
