"name","no.of.force.orders","number","calls","percent","percent.calls"
"tibble","1",377,28192,48.7080103359173,34.7256266551703
"tibble","2",42,4720,5.42635658914729,5.81388187473055
"tibble","3",8,560,1.03359173126615,0.689782595307015
"tibble","4",4,250,0.516795865633075,0.307938658619203
"tibble","5",3,208,0.387596899224806,0.256204963971177
"tibble","6",1,29,0.129198966408269,0.0357208843998276
"tidyr","0",195,NA,50.5181347150259,NA
"tidyr","1",169,2811,43.7823834196891,40.5510675129833
"tidyr","2",17,378,4.40414507772021,5.45297172533179
"tidyr","3",2,18,0.518134715025907,0.259665320253895
"tidyr","4",3,50,0.77720207253886,0.721292556260819
"viridis","0",453,NA,41.7511520737327,NA
"viridis","1",502,594809,46.2672811059908,31.6401061533969
"viridis","2",90,95134,8.29493087557604,5.06053179894262
"viridis","3",24,38188,2.21198156682028,2.03136195616731
"viridis","4",7,23556,0.645161290322581,1.25303137738235
"viridis","5",4,6077,0.368663594470046,0.323258264576011
"viridis","6",3,7102,0.276497695852535,0.377781832321677
"viridis","7",1,298,0.0921658986175115,0.0158517299397156
